D3,HR,TILT,FQ,OBS,RSRP
553.8754373,2.74,9.2,2600,0,-102
562.7654929,2.74,9,2600,0,-107
572.6473609,2.74,8.8,2600,0,-108
585.4997865,2.74,8.6,2600,0,-107
595.9882549,2.97826087,8.9,2600,0,-106
607.0123557,3.044444444,8.8,2600,0,-112
614.9211332,3.044444444,8.7,2600,0,-109
623.8212885,3.044444444,8.6,2600,0,-109
634.7030802,3.044444444,8.4,2600,0,-109
634.7030802,3.044444444,8.4,2600,0,-110
649.4074222,2.97826087,8.1,2600,0,-115
657.5173002,2.634615385,7.5,2600,0,-115
665.2533352,2.97826087,7.9,2600,0,-112
662.0098187,2.854166667,7.8,2600,0,-105
657.0555532,2.854166667,7.9,2600,0,-111
646.1586492,2.854166667,8,2600,1,-106
636.2554518,2.854166667,8.1,2600,1,-112
623.1035227,2.74,8.1,2600,0,-111
612.2131982,2.74,8.3,2600,0,-106
601.1830004,2.68627451,8.3,2600,0,-110
590.2982297,2.68627451,8.5,2600,0,-110
580.8588469,2.854166667,8.9,2600,0,-111
569.480465,3.044444444,9.4,2600,1,-112
560.6005708,3.044444444,9.6,2600,0,-108
551.724569,3.044444444,9.7,2600,0,-105
543.8382112,3.044444444,9.9,2600,0,-108
533.1735177,3.113636364,10.2,2600,1,-106
521.3616787,3.113636364,10.5,2600,1,-116
521.3616787,3.113636364,10.5,2600,1,-114
511.5251704,3.113636364,10.7,2600,1,-114
504.2786928,2.97826087,10.6,2600,1,-108
491.4977111,2.97826087,10.9,2600,1,-112
485.6027183,2.97826087,11,2600,1,-114
477.9382805,3.044444444,11.3,2600,1,-116
477.9382805,3.044444444,11.3,1800,1,-104
469.1097953,3.044444444,11.5,1800,1,-105
460.6788469,2.854166667,11.4,1800,0,-104
452.2499309,2.97826087,11.9,1800,0,-94
363.5629244,2.74,14.3,1800,0,-95
367.4479555,2.74,14.1,1800,1,-95
367.4479555,2.74,14.1,2600,1,-108
373.0482543,2.68627451,13.7,2600,1,-108
382.7858409,2.68627451,13.3,2600,0,-89
387.6596445,2.68627451,13.2,2600,0,-94
392.7569223,2.74,13.1,2600,0,-103
400.7804885,2.795918367,13,2600,0,-102
406.636201,2.795918367,12.8,2600,0,-109
411.5191369,2.795918367,12.6,2600,0,-109
418.3598929,2.795918367,12.4,2600,0,-100
429.3262163,2.854166667,12.2,2600,1,-100
436.1765698,2.854166667,12,2600,1,-104
445.9708511,2.854166667,11.7,2600,1,-105
455.1889717,2.97826087,11.8,2600,1,-106
464.9913978,2.97826087,11.5,2600,0,-90
473.0327684,3.044444444,11.4,2600,1,-111
481.8640887,3.044444444,11.2,2600,1,-112
489.7193074,3.044444444,11,2600,1,-113
498.561932,3.044444444,10.8,2600,0,-112
509.3770705,3.044444444,10.6,2600,0,-110
517.247523,3.044444444,10.4,2600,1,-106
521.4786669,2.795918367,9.9,2600,0,-115
527.3935912,2.795918367,9.7,2600,1,-113
526.4076367,2.795918367,9.8,2600,1,-110
518.5219378,2.795918367,9.9,2600,1,-111
511.6248626,2.795918367,10.1,2600,1,-112
503.7459677,2.795918367,10.2,2600,1,-114
495.870951,2.795918367,10.4,2600,1,-116
486.0329207,2.795918367,10.6,2600,1,-110
478.9676398,2.74,10.7,2600,1,-113
471.1029611,2.74,10.8,2600,1,-111
465.2074806,2.74,11,2600,1,-115
457.1618969,2.68627451,11,2600,0,-114
453.2339352,2.68627451,11.2,2600,0,-102
448.9287249,2.58490566,11,2600,1,-107
444.0180177,2.58490566,11.1,2600,1,-109
440.0908997,2.58490566,11.2,2600,1,-107
435.1838692,2.58490566,11.3,2600,1,-111
431.2597825,2.58490566,11.4,2600,1,-108
428.7213547,2.446428571,11.1,2600,0,-112
426.7575424,2.446428571,11.2,2600,1,-110
425.1799619,2.537037037,11.5,2600,1,-106
425.1799619,2.537037037,11.5,2600,1,-104
424.9858821,2.490909091,11.4,2600,1,-104
424.9858821,2.490909091,11.3,2600,1,-108
425.9671349,2.490909091,11.3,2600,0,-107
416.9436413,2.446428571,11.4,2600,0,-107
416.9436413,2.446428571,11.4,2600,0,-100
406.1588359,2.446428571,11.7,2600,0,-100
395.5919615,2.490909091,12.2,2600,0,-103
384.8376281,2.490909091,12.6,2600,0,-104
384.8376281,2.490909091,12.6,2600,0,-103
373.8796598,2.446428571,12.8,2600,0,-103
369.9756749,2.446428571,13,2600,0,-106
372.9034728,2.446428571,12.9,2600,0,-102
